customername,customer_last_transaction_date,total_qty_order,recency_Value,frequency_Value,monitary_Value,R_SCORE,F_SCORE,M_SCORE,totsl_RFM_score,RFM_combination,customer_segment
"Super Scale Inc.",2004-05-04,636,392,2,79472,1,1,2,4,112,"About to Sleep"
"Mini Caravy",2005-04-14,779,47,3,80438,5,4,3,12,543,"Loyal Customers"
"Collectables For Less Inc.",2005-01-20,795,131,3,81578,4,3,3,10,433,"Loyal Customers"
"Signal Gift Stores",2004-11-29,929,183,3,82751,3,3,3,9,333,"Promising Customers"
Gifts4AllAges.com,2005-05-06,933,25,3,83210,5,4,3,12,543,"Loyal Customers"
"Tekni Collectables Inc.",2005-04-03,906,58,3,83228,4,4,3,11,443,"Loyal Customers"
"Motor Mint Distributors Inc.",2004-11-17,730,195,3,83682,3,3,3,9,333,"Promising Customers"
"Blauer See Auto, Co.",2004-11-05,811,207,4,85172,2,4,3,9,243,"Potential Customers"
"Mini Classics",2004-10-15,929,228,2,85556,2,2,3,7,223,"Promising Customers"
"Collectable Mini Designs Co.",2004-02-26,954,460,2,87489,1,1,3,5,113,"About to Sleep"
"Vitachrome Inc.",2004-11-05,787,207,3,88041,2,2,3,7,223,"Promising Customers"
"Stylish Desk Decors, Co.",2004-12-03,937,179,3,88805,3,3,3,9,333,"Promising Customers"
"Auto Canal Petit",2005-04-07,1001,54,3,93171,4,4,3,11,443,"Loyal Customers"
"Cruz & Sons Co.",2004-11-16,961,196,3,94016,2,3,3,8,233,"Promising Customers"
"Amica Models & Co.",2004-09-09,843,264,2,94117,1,1,3,5,113,"About to Sleep"
"La Corne D'abondance, Co.",2004-11-20,836,192,3,97204,3,3,3,9,333,"Promising Customers"
FunGiftIdeas.com,2005-03-03,903,89,3,98924,4,4,3,11,443,"Loyal Customers"
"Toms Spezialitten, Ltd",2004-10-16,936,227,2,100307,2,2,3,7,223,"Promising Customers"
"Heintze Collectables",2004-10-22,882,221,2,100596,2,2,3,7,223,"Promising Customers"
"Gift Depot Inc.",2005-05-05,903,26,3,101895,5,4,4,13,544,VIP
"Marta's Replicas Co.",2004-10-13,976,230,2,103080,2,2,4,8,224,"Potential Customers"
"Oulu Toy Supplies, Inc.",2005-01-31,1110,120,3,104370,4,3,4,11,434,"Loyal Customers"
Toys4GrownUps.com,2005-01-12,1060,139,3,104562,4,3,4,11,434,"Loyal Customers"
"Mini Creations Ltd.",2005-01-07,1140,144,3,108951,3,3,4,10,334,"Loyal Customers"
"Toys of Finland, Co.",2005-02-09,1051,111,3,111250,4,4,4,12,444,"Loyal Customers"
"Herkku Gifts",2004-09-03,973,270,3,111640,1,2,4,7,124,"At Risk"
"Suominen Souveniers",2005-01-06,1031,145,3,113961,3,3,4,10,334,"Loyal Customers"
"Handji Gifts& Co",2005-04-23,1236,38,4,115499,5,5,4,14,554,VIP
"Baane Mini Imports",2004-11-05,1082,207,4,116599,2,4,4,10,244,"Potential Customers"
"Vida Sport, Ltd",2004-08-30,1078,274,2,117714,1,1,4,6,114,"At Risk"
"UK Collectables, Ltd.",2005-04-08,1046,53,3,118008,5,4,4,13,544,VIP
"Tokyo Collectables, Ltd",2005-04-22,1150,39,4,120563,5,5,4,14,554,VIP
"Corrida Auto Replicas, Ltd",2004-11-01,1163,211,3,120615,2,2,4,8,224,"Potential Customers"
"Technics Stores Inc.",2005-01-05,1179,146,4,120783,3,4,4,11,344,"Loyal Customers"
"Diecast Classics Inc.",2005-05-30,1111,1,4,122138,5,5,4,14,554,VIP
"Online Diecast Creations Co.",2004-11-04,1248,208,3,131685,2,2,4,8,224,"Potential Customers"
"Scandinavian Gift Ideas",2005-03-03,1359,89,3,134259,4,4,4,12,444,"Loyal Customers"
"Reims Collectables",2005-03-30,1433,62,5,135043,4,5,5,14,455,VIP
"Rovelli Gifts",2004-11-12,1650,200,3,137956,2,2,5,9,225,"Potential Customers"
"L'ordine Souveniers",2005-05-10,1280,21,3,142601,5,2,5,12,525,VIP
"Saveley & Henriot, Co.",2004-03-02,1428,455,3,142874,1,2,5,8,125,"At Risk"
"Danish Wholesale Imports",2005-04-15,1315,46,5,145042,5,5,5,15,555,VIP
"Salzburg Collectables",2005-05-17,1442,14,4,149799,5,5,5,15,555,VIP
"Corporate Gift Ideas Co.",2005-02-23,1447,97,4,149883,4,5,5,14,455,VIP
"Souveniers And Things Co.",2005-05-29,1601,2,4,151571,5,5,5,15,555,VIP
"Anna's Decorations, Ltd",2005-03-09,1469,83,4,153996,4,5,5,14,455,VIP
"AV Stores, Co.",2004-11-17,1778,195,3,157808,3,3,5,11,335,"Loyal Customers"
"The Sharp Gifts Warehouse",2005-04-22,1656,39,4,160010,5,5,5,15,555,VIP
"Land of Toys Inc.",2004-11-15,1631,197,4,164069,2,4,5,11,245,"Potential Customers"
"Dragon Souveniers, Ltd.",2005-03-02,1524,90,5,172990,4,5,5,14,455,VIP
"La Rochelle Gifts",2005-05-31,1832,0,4,180125,5,5,5,15,555,VIP
"Muscle Machine Inc",2004-12-01,1775,181,4,197737,3,5,5,13,355,"Loyal Customers"
"Australian Collectors, Co.",2004-11-29,1926,183,5,200995,3,5,5,13,355,"Loyal Customers"
"Mini Gifts Distributors Ltd.",2005-05-29,6366,2,17,654858,5,5,5,15,555,VIP
"Euro Shopping Channel",2005-05-31,9327,0,26,912294,5,5,5,15,555,VIP
